publishers,subtitle,source_records,title,notes.value,number_of_pages,isbn_13,covers,created.value,physical_format,full_title,isbn_10,latest_revision,key,last_modified.value,publish_date,revision,identifiers.librarything,languages.key,first_sentence.value,series,lc_classifications,genres,subjects,publish_country,by_statement,oclc_numbers,publish_places,pagination,dewey_decimal_class,lccn,contributions,edition_name,identifiers.goodreads,weight,physical_dimensions,ocaid,description.value,identifiers.amazon,ia_box_id,id,notes,subject_place,ia_loaded_id,local_id,links.url,links.title,copyright_date,uri_descriptions,uris,url,translated_from.key,contributors.role,contributors.name,translation_of,work_title,other_titles,identifiers.overdrive,oclc_number,subject_time,table_of_contents.level,table_of_contents.label,table_of_contents.pagenum,table_of_contents.title,work_titles,location,description
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Physics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science/Mathematics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science/Mathematics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science/Mathematics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Engineering - General,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Engineering - General,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Engineering - General,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4571256.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Applied physics & special topics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4571256.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Applied physics & special topics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
